iter	Passed	Remaining
0	1	177
1	2	125
2	3	108
3	3	94
4	4	90
5	5	85
6	6	82
7	6	79
8	7	79
9	8	77
10	9	76
11	10	74
12	11	73
13	11	72
14	12	71
15	13	71
16	14	70
17	15	69
18	15	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	58
31	27	57
32	28	56
33	28	55
34	29	55
35	30	54
36	31	53
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
