iter	Passed	Remaining
0	63	63250
1	65	32516
2	66	22109
3	67	16897
4	69	13891
5	71	11766
6	72	10252
7	73	9126
8	74	8212
9	75	7521
10	77	6933
11	80	6613
12	81	6204
13	82	5844
14	84	5523
15	86	5296
16	87	5069
17	88	4843
18	89	4646
19	91	4473
20	93	4355
21	95	4229
22	96	4100
23	97	3971
24	98	3854
25	99	3745
26	101	3645
27	102	3551
28	103	3463
29	104	3378
30	105	3300
31	106	3225
32	109	3197
33	110	3145
34	111	3087
35	113	3032
36	114	2977
37	115	2933
38	117	2883
39	118	2832
40	119	2788
41	120	2746
42	122	2722
43	123	2690
44	124	2650
45	125	2610
46	126	2573
47	127	2538
48	129	2509
49	130	2480
50	131	2450
51	132	2420
52	133	2390
53	134	2360
54	136	2348
55	138	2336
56	139	2313
57	140	2288
58	142	2265
59	143	2240
60	143	2216
61	145	2200
62	146	2180
63	147	2161
64	149	2145
65	151	2144
66	153	2131
67	154	2116
68	155	2101
69	157	2088
70	158	2072
71	159	2060
72	161	2048
73	162	2035
74	164	2024
75	166	2023
76	167	2009
77	168	1993
78	169	1978
79	170	1966
80	172	1951
81	173	1940
82	173	1921
83	174	1907
84	176	1895
85	177	1883
86	182	1911
87	183	1906
88	185	1898
89	186	1887
90	188	1877
91	189	1869
92	190	1860
93	192	1850
94	193	1840
95	194	1835
96	196	1833
97	198	1825
98	199	1816
99	200	1807
100	202	1798
101	203	1789
102	204	1781
103	205	1771
104	206	1762
105	208	1755
106	209	1747
107	211	1749
108	212	1740
109	214	1731
110	215	1723
111	216	1713
112	218	1713
113	220	1713
114	221	1705
115	222	1696
116	223	1687
117	225	1685
118	227	1682
119	228	1674
120	229	1666
121	230	1656
122	231	1649
123	232	1642
124	233	1634
125	234	1628
126	235	1619
127	236	1612
128	237	1605
129	239	1600
130	241	1599
131	242	1593
132	243	1587
133	244	1581
134	245	1574
135	246	1567
136	247	1560
137	248	1554
138	249	1546
139	250	1540
140	252	1535
141	252	1527
142	254	1522
143	256	1522
144	257	1516
145	258	1510
146	259	1504
147	260	1497
148	261	1492
149	262	1487
150	263	1481
151	264	1477
152	265	1472
153	266	1466
154	267	1460
155	268	1454
156	271	1455
157	272	1450
158	273	1445
159	274	1440
160	274	1432
161	275	1427
162	276	1422
163	277	1417
164	279	1412
165	280	1407
166	281	1402
167	282	1397
168	283	1392
169	285	1393
170	286	1390
171	287	1386
172	289	1382
173	290	1377
174	291	1372
175	292	1368
176	293	1363
177	294	1359
178	295	1355
179	296	1352
180	297	1347
181	299	1346
182	301	1344
183	302	1340
184	303	1335
185	304	1332
186	305	1329
187	307	1326
188	308	1323
189	309	1319
190	310	1316
191	311	1312
192	312	1308
193	314	1308
194	316	1307
195	317	1304
196	318	1299
197	319	1295
198	320	1291
199	321	1287
200	323	1284
201	324	1281
202	325	1277
203	326	1274
204	327	1271
205	329	1270
206	331	1268
207	332	1265
208	333	1261
209	334	1257
210	335	1255
211	336	1251
212	337	1248
213	338	1244
214	339	1241
215	340	1237
216	342	1234
217	343	1231
218	345	1232
219	347	1230
220	348	1227
221	349	1224
222	350	1221
223	351	1219
224	353	1216
225	354	1213
226	355	1210
227	356	1207
228	357	1204
229	361	1208
230	362	1207
231	363	1204
232	365	1202
233	366	1201
234	368	1199
235	370	1200
236	371	1197
237	373	1194
238	376	1199
239	378	1197
240	380	1197
241	381	1196
242	383	1194
243	384	1191
244	385	1189
245	387	1186
246	388	1183
247	389	1182
248	391	1180
249	392	1178
250	394	1175
251	395	1173
252	396	1171
253	397	1168
254	399	1165
255	400	1162
256	401	1159
257	402	1156
258	403	1153
259	404	1151
260	406	1151
261	408	1149
262	409	1146
263	410	1143
264	411	1140
265	412	1136
266	413	1134
267	414	1131
268	415	1129
269	416	1126
270	417	1123
271	418	1120
272	420	1120
273	422	1118
274	423	1115
275	424	1113
276	425	1110
277	426	1107
278	427	1105
279	428	1102
280	429	1099
281	430	1096
282	431	1094
283	433	1091
284	434	1089
285	436	1089
286	437	1086
287	438	1084
288	439	1081
289	440	1078
290	441	1076
291	443	1074
292	444	1072
293	445	1070
294	446	1067
295	447	1065
296	449	1064
297	451	1064
298	453	1062
299	454	1059
300	455	1057
301	456	1054
302	457	1052
303	458	1049
304	459	1047
305	460	1045
306	461	1042
307	463	1041
308	466	1043
309	468	1042
310	469	1040
311	470	1037
312	471	1035
313	473	1033
314	474	1030
315	476	1030
316	477	1029
317	478	1026
318	480	1025
319	481	1023
320	482	1021
321	483	1018
322	484	1016
323	485	1013
324	487	1011
325	488	1009
326	489	1007
327	490	1004
328	491	1002
329	492	999
330	493	997
331	495	996
332	496	994
333	497	992
334	498	989
335	499	987
336	500	985
337	501	982
338	502	980
339	504	978
340	505	976
341	506	973
342	507	971
343	508	969
344	510	968
345	511	966
346	512	964
347	514	963
348	515	960
349	516	958
350	516	955
351	518	953
352	519	952
353	520	950
354	521	948
355	523	946
356	524	944
357	526	944
358	528	943
359	529	941
360	530	938
361	531	936
362	532	934
363	533	932
364	534	929
365	535	927
366	536	924
367	537	922
